compound_id,mean
1141,-837.4882862500006
1144,-590.7664065000004
1145,-594.5938172499999
1155,-1209.4494175000032
1174,-109.14711685000019
1179,-750.9815014999991
1197,-1395.3003499999954
1256,-2968.1492775000033
1260,-914.9403765000009
1290,-843.01514775
1292,-1089.000575000001
1294,-3129.636277499995
1296,127.8390879999999
1300,-1580.8917800000008
1308,-682.6984352499994
1311,-361.9640065
1320,-965.4437535000002
1321,-598.7021174999982
1322,-236.19597625000057
1332,-29.510587357499983
1341,-854.920939249998
1347,-1125.8029725000038
1356,-2923.3273300000014
1413,-1230.289567500001
1449,-248.4530430000003
1450,-844.4257729999998
1453,-3703.4514974999934
1467,-474.2941217500004
1479,-451.39188875
1495,-3063.9393774999958
1497,-1748.0730150000047
1498,-1096.2404525000022
1511,-1595.4444725000005
1513,-818.0934820000027
1526,-862.1582079999994
1556,-2592.557607500006
1564,-1756.2437474999938
1576,-754.7943595000015
1577,-1601.5953100000006
1578,-757.05275625
1611,322.50728825000044
1614,-581.5978624999995
1628,-446.70281149999937
1637,-588.2239785
1667,-359.7118842500003
1682,-580.5301545000015
1699,-3669.8526750000156
1721,0.07581979361999999
1729,-281.96796525000036
1747,-350.26413649999984
1786,52.64500627499998
1816,-598.5348640000013
1938,-1091.1158300000016
1940,-1445.4803050000037
1974,-3985.546967499994
1995,-1578.3105075000024
2037,-377.9694957500002
2089,-595.1338699999984
2118,-289.5794057500008
2133,-879.6772879999996
2140,-138.3454464999999
2209,-199.54339525000026
2221,-476.4749269999999
2392,-97.58859692499983
2433,-333.1370057500006
2458,-230.93900749999997
2463,-3300.0466899999983
2482,-494.82218800000015
2552,-473.48038574999873
2644,-114.51562347500024
2646,-907.0687099999998
2647,-564.2693355000001
2694,-622.6854600000028
2700,-179.4640882499991
2712,24.503129177500067
2713,-45.149712574999974
2736,-77.29613459999997
2740,-588.3910492499987
2763,-260.84042825000006
2816,-168.87403899999973
2820,25.431402889999983
2844,-66.00421980000006
2912,-609.4700147500002
2930,-707.1746839999995
2959,-65.41853972500026
3005,-235.45040599999965
3006,-779.0664222499993
3007,-967.9953325000025
3025,-925.0431874999996
3026,-782.7864290000006
3050,-466.8218987499987
3101,-600.5925767500011
3112,-281.1065052500004
3153,-942.232203749999
3176,-1105.4517550000023
3360,-75.73242502500017
3454,-513.989288499999
3507,-1860.842800000004
3617,-767.2126974999974
3644,63.17299327499978
3649,81.28816090000014
3684,165.88921975000008
3686,-650.3280105000006
3718,-513.2848269999997
3723,-461.4420035000012
3741,-422.74920075000057
3747,-239.2073240000001
3789,-611.252190499999
3909,102.09769057499996
3930,-423.05315250000194
3970,-1227.4437800000003
4004,-616.17629525
4070,-1724.0089400000002
4074,86.01046932499996
4131,-342.9130542500002
4136,-1075.519912499998
4149,-418.98976799999986
4187,-300.71405474999966
4225,-389.1239354999997
4377,160.7686572500004
4400,-66.6512088500001
4401,-52.780844599999966
4521,-1534.5941774999944
4620,-850.9463539999986
4643,39.860765474999994
4695,-395.70541524999993
4851,-2243.389532500002
4983,-1511.5623500000015
5184,-390.9726390000001
5400,-174.58943600000012
5465,-1586.1715249999997
5713,-393.32579525
6927,-344.85715074999956
6935,-905.6016324999987
6982,-333.7819369999997
7631,-56.16705020000016
7632,-63.02670447500013
7633,50.956347050000005
7798,-831.1610972500009
7804,-263.0085684999999
8576,-120.04074872500004
8601,-46.85137637500005
9025,-23.98425362250007
9409,-1579.0700749999953
9721,44.27859502500002
9903,-44.28004504999995
10402,68.22559610000019
10403,-94.68000772499985
10404,49.910298125000104
10405,83.93105939999978
10412,82.86229542499996
10511,-263.90614500000004
10530,-205.9568335
10559,-145.094454
10660,-257.4129027499994
10929,-751.7203447499985
11086,-794.2464142499994
11219,-903.8765575000003
11228,-1928.7842024999957
21310,-74.17092740000015
21316,-88.18369609999984
21317,-81.25536992500012
21358,47.936652700000074
21443,-71.11927039999982
21539,61.39489357500008
23671,-256.79307150000034
25364,-24.027074249500085
26143,-200.0003059999998
26326,-142.71365525
27863,-274.52266124999966
29038,-907.4902889999985
29047,-1757.0822875000013
29687,-746.4613934999993
33085,-8.347592386798995
33905,-2922.5897899999977
36135,-598.3928115000004
36159,-1091.3123449999978
41023,-3577.936054999998
42488,-1035.0412274999983
43314,26.48210803750005
43316,-56.15782517500007
43842,-663.6253872499989
44860,-1584.7903449999983
45839,-911.4746879999983
46145,-599.2781020000001
46934,-1031.6224407500001
49832,-1726.871682500002
59027,36.35449082500006
59029,-71.63302285
59087,-0.07692209121999997
63823,-15.461505062500006
65990,-1005.6374652500001
66384,-783.6780232500025
72126,-258.5761264999994
72644,-494.84557075000004
74378,-689.3751964999975
74380,11.580652096827526
74381,-1755.1466174999978
74383,-807.6778004999998
74384,-490.6353849999996
74392,-1157.1621775000024
74395,-368.3516542499996
74408,-3138.341014999994
74429,-1720.304117499999
74434,-3540.214477500011
74443,-836.9054672499983
74447,-3131.04456249999
74448,-588.6496389999998
74455,-1787.898745000003
74456,-1077.0016575000027
74457,-1771.7406874999995
74493,-345.87857824999946
74537,-502.31266150000096
74603,-751.1929980000016
74855,-909.5758762500013
